0.355,-0.547,0.422,0
0.371,-0.547,0.465,0
0.41,-0.504,0.508,0
0.422,-0.441,0.57,0
0.461,-0.43,0.613,0
0.422,-0.48,0.668,0
0.355,-0.563,0.664,0
0.371,-0.613,0.625,0
0.332,-0.703,0.652,0
0.32,-0.781,0.664,0
0.367,-0.773,0.75,0
0.422,-0.719,0.742,0
0.43,-0.797,0.742,0
0.395,-0.75,0.652,0
0.445,-0.754,0.781,0
0.652,-0.578,0.648,0
0.75,-0.578,0.621,0
0.57,-0.613,0.563,0
0.488,-0.5,0.555,0
0.453,-0.457,0.496,0
0.426,-0.406,0.406,0
0.445,-0.414,0.379,0
0.441,-0.414,0.313,0
0.48,-0.457,0.453,0
0.496,-0.422,0.469,0
0.504,-0.445,0.555,0
0.574,-0.5,0.621,0
0.516,-0.523,0.574,0
0.32,-0.57,0.438,0
0.531,-0.621,0.48,0
0.543,-0.723,0.469,0
0.492,-0.813,0.504,0
0.523,-0.785,0.484,0
0.57,-0.785,0.527,0
0.543,-0.816,0.605,0
0.488,-0.82,0.711,0
0.426,-0.836,0.805,0
0.414,-0.879,0.781,0
0.254,-0.973,0.746,0
0.352,-1.008,0.672,0
0.418,-1.012,0.645,0
0.523,-0.93,0.68,0
0.543,-0.832,0.711,0
0.418,-0.77,0.699,0
0.414,-0.645,0.707,0
0.48,-0.559,0.676,0
0.492,-0.531,0.563,0
0.441,-0.543,0.395,0
0.387,-0.594,0.27,0
0.348,-0.648,0.199,0
0.289,-0.652,0.125,0
0.297,-0.66,0.109,0
0.262,-0.668,0.121,0
0.262,-0.641,0.207,0
0.32,-0.648,0.367,0
0.426,-0.559,0.348,0
0.375,-0.582,0.332,0
0.246,-0.82,0.383,0
0.336,-0.797,0.402,0
0.461,-0.777,0.484,0
0.504,-0.832,0.527,0
0.574,-0.867,0.582,0
0.613,-0.859,0.605,0
0.594,-0.898,0.664,0
0.707,-0.797,0.613,0
0.777,-0.715,0.516,0
0.75,-0.762,0.496,0
0.758,-0.672,0.492,0
0.723,-0.664,0.582,0
0.738,-0.52,0.516,0
0.629,-0.551,0.422,0
0.59,-0.543,0.387,0
0.566,-0.535,0.344,0
0.516,-0.563,0.293,0
0.508,-0.582,0.262,0
0.516,-0.617,0.254,0
0.523,-0.625,0.223,0
0.438,-0.652,0.152,0
0.336,-0.711,0.176,0
0.309,-0.594,0.195,0
0.445,-0.77,0.309,0
0.352,-0.703,0.27,0
0.477,-0.898,0.348,0
0.469,-0.938,0.352,0
0.461,-0.934,0.387,0
0.652,-0.914,0.375,0
0.785,-1.16,0.297,0
0.363,-1.18,0.219,0
0.52,-0.988,0.328,0
0.508,-0.949,0.34,0
0.438,-0.859,0.23,0
0.297,-1.012,-0.035,0
0.25,-1.137,0.074,0
0.41,-0.992,0.234,0
0.457,-0.879,0.297,0
0.43,-0.828,0.297,0
0.461,-0.828,0.238,0
0.355,-0.797,0.215,0
0.277,-0.703,0.258,0
0.289,-0.68,0.262,0
0.277,-0.691,0.293,0
0.285,-0.684,0.234,0
0.352,-0.691,0.199,0
0.316,-0.781,0.168,0
0.273,-0.934,0.117,0
0.258,-0.867,0.145,0
0.293,-0.883,0.145,0
0.324,-0.906,0.164,0
0.336,-0.898,0.184,0
0.461,-0.977,0.129,0
0.367,-1.031,0.125,0
0.418,-1.02,0.152,0
0.477,-0.98,0.188,0
0.488,-1.012,0.211,0
0.434,-1.07,0.156,0
0.469,-1.023,0.168,0
0.539,-0.93,0.211,0
0.551,-0.895,0.211,0
0.57,-0.816,0.133,0
0.426,-0.816,0.074,0
0.406,-0.805,0.016,0
0.434,-0.805,-0.008,0
0.465,-0.809,0.004,0
0.449,-0.867,0.039,0
0.375,-0.871,0.102,0
0.332,-0.883,0.191,0
0.375,-0.879,0.059,0
0.301,-1.055,0.055,0
0.344,-0.98,0.188,0
0.434,-0.91,0.367,0
0.262,-0.949,0.168,0
0.109,-0.859,0.223,0
0.172,-0.953,0.527,0
0.188,-0.93,0.609,0
0.137,-0.863,0.504,0
0.082,-0.902,0.426,0
0.039,-0.898,0.418,0
-0.008,-0.906,0.395,0
-0.102,-0.973,0.293,0
-0.117,-1.063,0.328,0
-0.078,-1.07,0.344,0
-0.074,-1.07,0.379,0
-0.094,-1.047,0.426,0
-0.074,-1,0.453,0
-0.031,-0.93,0.449,0
0.023,-0.871,0.41,0
0.039,-0.836,0.34,0
0.043,-0.848,0.293,0
0.027,-0.859,0.27,0
0.012,-0.863,0.262,0
0.004,-0.855,0.289,0
0.023,-0.852,0.316,0
0.031,-0.855,0.375,0
0.051,-0.824,0.422,0
0.07,-0.781,0.406,0
0.09,-0.766,0.402,0
0.09,-0.781,0.418,0
0.074,-0.816,0.43,0
0.074,-0.84,0.465,0
0.109,-0.855,0.488,0
0.133,-0.867,0.516,0
0.137,-0.895,0.535,0
0.133,-0.906,0.527,0
0.16,-0.887,0.477,0
0.156,-0.902,0.457,0
0.145,-0.93,0.477,0
0.141,-0.945,0.504,0
0.164,-0.945,0.543,0
0.207,-0.941,0.555,0
0.227,-0.922,0.578,0
0.23,-0.895,0.605,0
0.23,-0.84,0.602,0
0.23,-0.793,0.57,0
0.254,-0.758,0.531,0
0.281,-0.77,0.484,0
0.297,-0.797,0.449,0
0.352,-0.809,0.418,0
0.41,-0.801,0.391,0
0.449,-0.809,0.375,0
0.469,-0.809,0.355,0
0.445,-0.816,0.363,0
0.422,-0.805,0.375,0
0.387,-0.805,0.359,0
0.352,-0.805,0.336,0
0.316,-0.805,0.332,0
0.289,-0.813,0.328,0
0.277,-0.824,0.324,0
0.266,-0.848,0.328,0
0.262,-0.871,0.379,0
0.262,-0.879,0.434,0
0.258,-0.891,0.461,0
