Position Z,Diff Angular Vel Vec,Acc X
1.48402559929769,-0.00510636217319339,-0.207543004926403
1.48445055770721,-0.00380107693853045,-0.182233773531096
1.48486054152592,-0.00246895230954324,-0.155878467368088
1.48524352792045,-0.00138692312704811,-0.128739755960732
1.48559175048866,-0.000713317852629132,-0.101137751010298
1.48590115704927,-0.000458249749648948,-0.073442908603705
1.48617054304455,-0.000533646230778381,-0.0460666402611986
1.48640081980775,-0.000817760417020467,-0.0194578478602596
1.48659442588599,-0.00119337329139368,0.00589614364070736
1.48675485288163,-0.00156021742615107,0.0294636054258377
1.48688623343895,-0.00183754126591488,0.050677272190854
1.48699296787865,-0.00196575799595083,0.0689783618485801
1.48707940581441,-0.00190675410769588,0.0838810112110135
1.4871496140057,-0.00164322296163274,0.0950393226220893
1.48720726781677,-0.00118268808720035,0.102305685042625
1.48725564990686,-0.000567514524130536,0.10576490083301
1.48729766917709,0.000119253410989489,0.105733885925685
1.48733584791152,0.000763976570433839,0.102715936965614
1.48737229426344,0.00124928440155477,0.0973308438695192
1.48740869826234,0.00148760405267891,0.0902695941174177
1.4874463973794,0.00144759665866138,0.0822638365648665
1.4874865058478,0.00116422592819243,0.0740209609049584
1.4875300223934,0.000731307621229367,0.0661350200541195
1.48757786089507,0.000281219010178121,0.0590301498380659
1.48763082469042,-3.87277726091179e-05,0.0529453124497394
1.48768956742688,-8.51880037384331e-05,0.0479200639232484
1.48775458102447,0.000260163131780199,0.0437875231423085
1.48782620973013,0.00104896016311459,0.0402170693821918
1.48790464035959,0.00220780179939003,0.0367853894791729
1.48798985232406,0.00352153533394555,0.0330271888241337
1.48808156202296,0.00471072834999733,0.0284768169922055
1.48817919891324,0.00554363337908512,0.0227307567105781
1.48828194458101,0.00588461964545979,0.0155069548097641
1.4883888284481,0.00567862516874454,0.00664803637668093
1.48849881877805,0.00492335264429926,-0.0039239380017042
1.48861086503041,0.003652291801383,-0.0162385446244232
1.48872390171157,0.00192425683575934,-0.0302811032053679
1.48883684175932,-0.000185393660412966,-0.0460103986533571
1.48894858314531,-0.00258748464454403,-0.0633862415032416
1.4890580299569,-0.00516837133089405,-0.0823581470786231
1.48916410263522,-0.00775189308714156,-0.102816210887957
1.48926572217218,-0.00997950163084277,-0.124560711435729
1.48936177722254,-0.0108826588928958,-0.147312190679253
1.4894510855432,-0.00750763863940709,-0.170723694456192
1.48953235501753,0.00417213292463038,-0.194361456854418
1.48960414636678,0.016968428010304,-0.217663077192313
1.48966483730118,0.0241341153578573,-0.239904592307283
1.48971258741709,0.0280620284779243,-0.260185117128754
1.48974530521136,0.0303602951509702,-0.277392366937323
1.48976061742161,0.0314031479411628,-0.290143927719802
1.4897558365083,0.0311383081017995,-0.296757297708476
1.48972793130975,0.0293488047778074,-0.295248608137777
1.48967352237415,0.0257440778562972,-0.283311320784809
1.48958892082494,0.0200145341220631,-0.258278056526885
1.48947021939368,0.0118931627353508,-0.217112473826173
1.48931344212319,0.00126938282127292,-0.156454591871042
1.48911475729466,-0.0115255642411135,-0.0727015106341007
1.4888707627193,-0.024868002325388,0.0378868824661373
1.48857886011436,-0.0330097412192246,0.179051191830586
1.48823772764645,-0.0181936516621545,0.354370875674683
1.48784788793251,0.0442397037198379,0.567053859618851
1.48741236766771,0.127928565136099,0.819624031782245
1.48693744599567,0.197846337289792,1.1134910627027
1.48643348437163,0.25900453755664,1.44843177417718
1.48591582204305,0.31825626096533,1.82201785679145
1.48540571153014,0.377272928710585,2.22898899026042
1.48493126129394,0.435173238957411,2.66054785800873
1.48452834183811,0.489692833485138,3.10356734046477
1.48424139191851,0.537600761410186,3.53976397149392
1.4841240437937,0.574981114289063,3.94511787185045
1.48423943927157,0.597700544810059,4.28986198781606
1.4846599984143,0.602170745025703,4.53937412304758
1.48546638546436,0.586086197383676,4.65712735135011
1.48674568340682,0.548654817341552,4.61081319055724
1.4885891359011,0.490311638834364,4.38054483980001
1.49108981150364,0.41238759486471,3.96619536662457
1.49434015684441,0.317082111553891,3.39103694077526
1.49842904969661,0.207619108387885,2.70042735884588
1.50343799313356,0.0882704679026123,1.95552079258409
1.50943646314613,-0.0358821215072824,1.22276070372448
1.51647682655836,-0.159385868208759,0.562482878714344
1.52458944946971,-0.276948108521541,0.0201951511036979
1.53377853521437,-0.383909306163509,-0.379209474990785
1.54401897839202,-0.476503152610888,-0.634093933804899
1.55525441798834,-0.551878687583964,-0.764454317701565
1.56739677636209,-0.608002256333587,-0.806886763638152
1.58032756553136,-0.643588113946606,-0.807569218684024
1.59390101869297,-0.658079635842252,-0.813464762479308
1.60794888954014,-0.651490416446007,-0.862834101853677
1.62228662834797,-0.623921944052066,-0.979206264529811
1.63672046926621,-0.574696411371182,-1.17194229013984
1.65105471709422,-0.500532203573691,-1.4404570731931
1.66509825518346,-0.391028184402005,-1.77765705073187
1.67866941899904,-0.226550844462747,-2.17229080455187
1.69159935173168,-0.0323488378928933,-2.6112856291173
1.70373484712752,0.0752496428080348,-3.0811222811017
1.71494110232796,0.0761441749181023,-3.56722487060423
1.7251036459543,0.0286143419387564,-4.05288224422502
1.73412876208608,-0.0322320805059056,-4.51956651362178
1.74194259244802,-0.0890070676744247,-4.94812790733307
1.74848947341244,-0.125962276161217,-5.32032452794606
1.75372984898721,-0.111512690966864,-5.62118574129865
1.75763793895142,0.00721230301647652,-5.84060167558264
1.76019983111488,0.170553322009422,-5.97176446772697
1.76141313525464,0.258359334560364,-6.0081460004826
1.76128839107487,0.285289518235038,-5.94257521013479
1.75985094081181,0.279395033589837,-5.76824462022961
